Nome;Sobrenome;Empresa;Cargo;Email;Telefone;Celular;LinkedIn;Temperatura;Fonte;Etapa;Notas
Não identificado;;Melida Comércio e Indústria Ltda;Não identificado (e-mail institucional financeiro);financeiro@melida.com.br (institucional/financeiro — decisor não identificado);01532381500;;;Morno;WebSearch;;"Motivo de inclusão: Segmento: ICP frio ""indústria de peças"", subsegmento injeção plástica técnica automotiva, 10.000 m² de área construída / 46 injetoras (até 600t), desde 1949, achado via WebSearch em 2026-09-17 || Canal escolhido: Email || Variação A: Assunto: Desengraxante industrial para o parque de injetoras da Melida

Olá,

Sou da Neolimpeza, distribuidora exclusiva da linha Eco Renova de produtos de limpeza institucional e industrial (HPC).

Vi que a Melida opera um parque de 46 injetoras em Sorocaba, com peças técnicas para o setor automotivo — processo que gera bastante resíduo de óleo e graxa no piso e nas máquinas, e que exige um desengraxante industrial de alto desempenho no dia a dia.

Quero oferecer uma demonstração gratuita do nosso desengraxante industrial direto na planta de vocês, sem custo e sem compromisso, para testarem o resultado na prática.

Tem 15 minutos essa semana para conversarmos?

Atenciosamente,
Neolimpeza — Distribuidora exclusiva Eco Renova || Variação B: Assunto: Piloto gratuito de limpeza industrial — Melida

Olá, tudo bem?

Sou da Neolimpeza, distribuidora exclusiva dos produtos de limpeza industrial Eco Renova. Atendemos indústrias de injeção plástica e metalmecânica na região de Sorocaba com desengraxante e detergente industrial de alto rendimento.

Preciso entender melhor a rotina de limpeza do chão de fábrica e das injetoras da Melida para propor um piloto gratuito — sem custo, sem compromisso, só para vocês validarem o produto na prática.

Podemos marcar uma conversa rápida nos próximos dias?

Abraço,
Neolimpeza"
Não identificado;;Mikro-Stamp Estamparia Comércio e Indústria Ltda;Não identificado (cargos operacionais encontrados: supervisão de logística, inspeção de qualidade);;01937273700;;;Morno;WebSearch;;"Motivo de inclusão: Segmento: ICP frio ""indústria de peças"", subsegmento estamparia de metais, ISO 9001 + AS9100 (aeroespacial), ~38 funcionários, desde 1987, achado via WebSearch em 2026-09-17 || Canal escolhido: Telefone/WhatsApp || Variação A: Olá! Sou da Neolimpeza, distribuidora exclusiva da linha Eco Renova de limpeza industrial. Vi que a Mikro-Stamp trabalha com estamparia de metais certificada ISO 9001/AS9100 em Campinas — processo que gera bastante resíduo de óleo nas prensas. Quero levar uma demonstração gratuita do nosso desengraxante industrial até vocês, sem compromisso. Tem alguns minutos essa semana pra gente conversar? || Variação B: Oi, tudo bem? Sou da Neolimpeza, distribuidora exclusiva Eco Renova (linha de limpeza industrial). Trabalho com empresas de estamparia e usinagem na região de Campinas e preciso entender como está a rotina de limpeza das prensas e do piso de fábrica da Mikro-Stamp. Posso levar um piloto gratuito do nosso desengraxante pra vocês testarem sem custo. Quando posso ligar?"
Não identificado;;Grupo Almar — Indústria e Comércio de Auto Peças;Não identificado;;;;;Frio;WebSearch;;"Motivo de inclusão: Segmento: ICP frio ""indústria de peças"", subsegmento fundição de metais não ferrosos + usinagem para autopeças, 200+ funcionários, ISO 9001/IATF 16949/ISO 14001, achado via WebSearch em 2026-09-17 || Sem canal viável para redigir mensagem."
Cibele Bim (ex-decisora — ver observação);;Presmak Técnica em Injetados Ltda;Não identificado (decisora anterior confirmada como tendo saído da empresa);;1120142030 (PABX);;;Morno;WebSearch;;"Motivo de inclusão: Segmento: ICP frio ""indústria de peças"", subsegmento fundição/usinagem de zamak e alumínio, 10.500 m², desde 1966, certificação IATF 16949, achado via WebSearch em 2026-09-17 || Canal escolhido: Telefone/WhatsApp || Variação A: Olá! Sou da Neolimpeza, distribuidora exclusiva Eco Renova de produtos de limpeza industrial. A Presmak trabalha há mais de 55 anos com fundição e usinagem de peças técnicas em alumínio/zamak para o setor automotivo, certificada IATF 16949 — processo que gera bastante resíduo de metal e óleo. Quero oferecer uma demonstração gratuita do nosso desengraxante industrial direto na planta de vocês. Tem um horário essa semana? || Variação B: Oi, tudo bem? Sou da Neolimpeza, distribuidora exclusiva da linha Eco Renova. Preciso entender a rotina de limpeza industrial da Presmak (fundição/usinagem de alumínio e zamak) pra propor um piloto gratuito do nosso desengraxante, sem custo e sem compromisso. Posso ligar essa semana pra conversarmos?"
Marcio Mulinari;;Alumec Indústria e Comércio Ltda;Marcio Mulinari — Gerente de Qualidade (via ZoomInfo);"compras@alumec.com.br (institucional/compras — decisor Marcio Mulinari, Gerente de Qualidade, identificado via ZoomInfo; e-mail pessoal não confirmado)";1133365353;;;Morno;WebSearch;;"Motivo de inclusão: Segmento: ICP frio ""indústria de peças"", subsegmento fundição sob pressão de alumínio, 120 funcionários, operação 24h/3 turnos, certificação IATF 16949 + ISO 9001 + VDA 6.3, desde 1988, achado via WebSearch em 2026-09-17 || Canal escolhido: Email || Variação A: Assunto: Desengraxante industrial para fundição sob pressão — Alumec

Olá,

Sou da Neolimpeza, distribuidora exclusiva da linha Eco Renova de produtos de limpeza institucional e industrial (HPC).

A Alumec opera 24 horas, em 3 turnos, na fundição sob pressão de alumínio para o setor automotivo — processo intensivo que gera bastante resíduo de óleo e graxa nas máquinas e no piso da fábrica, com exigência de padrão de limpeza compatível com as certificações IATF 16949 e VDA 6.3 de vocês.

Quero propor uma demonstração gratuita do nosso desengraxante industrial direto na planta, sem custo e sem compromisso, para o time de vocês validar o resultado.

Tem 15 minutos essa semana ou a próxima para conversarmos?

Atenciosamente,
Neolimpeza — Distribuidora exclusiva Eco Renova || Variação B: Assunto: Piloto gratuito — limpeza industrial Alumec

Olá, tudo bem?

Sou da Neolimpeza, distribuidora exclusiva dos produtos Eco Renova para limpeza industrial. Preciso entender a rotina de limpeza da operação 24h da Alumec para propor um piloto gratuito do nosso desengraxante industrial, sem custo e sem compromisso.

Podemos marcar uma conversa rápida nos próximos dias?

Abraço,
Neolimpeza"
Fernando Camera;;Indústria Mecânica e Plásticos GABB Ltda (Grupo GABB);Fernando Camera — Gerente Comercial (via ZoomInfo/RocketReach, e-mail pessoal não confirmado);Não encontrado como canal comercial confiável (e-mail trabalhe.conosco@grupogabb.com.br é de RH — não usado como decisor);1144740299;;;Morno;WebSearch;;"Motivo de inclusão: Segmento: ICP frio ""indústria de peças"", subsegmento injeção plástica técnica multi-indústria, desde 1962 (60+ anos), certificação ISO 9001 + IATF 16949, achado via WebSearch em 2026-09-17 || Canal escolhido: Telefone/WhatsApp || Variação A: Olá! Sou da Neolimpeza, distribuidora exclusiva Eco Renova de limpeza industrial. A GABB trabalha há mais de 60 anos com injeção plástica técnica para automotivo, saúde e alimentício, certificada IATF 16949 — processo que exige limpeza rigorosa das injetoras e do piso de fábrica. Quero levar uma demonstração gratuita do nosso desengraxante/detergente industrial até vocês, sem compromisso. Tem um horário essa semana? || Variação B: Oi, tudo bem? Sou da Neolimpeza, distribuidora exclusiva da linha Eco Renova. Preciso entender como está a rotina de limpeza industrial da GABB, principalmente na linha que atende o setor de saúde, pra propor um piloto gratuito dos nossos produtos, sem custo. Posso ligar essa semana?"
Não identificado;;Metalúrgica Harmonia Ltda;Não identificado;;01934662959;;;Frio;WebSearch;;"Motivo de inclusão: Segmento: ICP frio ""indústria de peças"", subsegmento fundição/usinagem de ferro e alumínio, ativa desde 1986, achado via WebSearch em 2026-09-17 || Sem canal viável para redigir mensagem."
Não identificado;;Mococa S/A Produtos Alimentícios;Não identificado nominalmente (vaga aberta de Gerente de Qualidade, titular não divulgado);fernandacastro@mococa.com.br (institucional/comercial — decisor não identificado nominalmente);1136657100;;;Morno;WebSearch;;"Motivo de inclusão: Segmento: ICP frio ""indústria de alimentos"", subsegmento laticínios industriais de porte nacional, desde 1919, exporta para 15+ países, vaga aberta para Gerente de Qualidade (dez/2025 e fev/2026), achado via WebSearch em 2026-09-17 || Canal escolhido: Email || Variação A: Assunto: HPC Cleaner para a linha de laticínios da Mococa

Olá,

Sou da Neolimpeza, distribuidora exclusiva da linha Eco Renova de produtos de limpeza institucional e industrial (HPC).

A Mococa processa leite condensado, doce de leite e leite em pó em escala industrial há mais de 100 anos — operação que exige sanitização pesada e recorrente das linhas de processamento. Quero apresentar o HPC Cleaner, produto da nossa linha desenvolvido justamente para esse tipo de rotina de limpeza industrial de alimentos, com uma demonstração gratuita na planta de vocês.

Tem 15 minutos essa semana ou a próxima para conversarmos?

Atenciosamente,
Neolimpeza — Distribuidora exclusiva Eco Renova || Variação B: Assunto: Piloto gratuito de sanitização industrial — Mococa

Olá, tudo bem?

Sou da Neolimpeza, distribuidora exclusiva dos produtos Eco Renova para limpeza institucional e industrial. Preciso entender a rotina de sanitização da linha de laticínios da Mococa para propor um piloto gratuito, sem custo e sem compromisso, do nosso HPC Cleaner e demais produtos da linha.

Podemos marcar uma conversa rápida nos próximos dias?

Abraço,
Neolimpeza"
Não identificado;;SHA Comércio de Alimentos Ltda (Serviços em Alimentação);Não identificado nesta busca;contato@sha.com.br (institucional — decisor não identificado);01230235000;;;Morno;WebSearch;;"Motivo de inclusão: Segmento: ICP frio ""indústria de alimentos"" (food service), subsegmento alimentação coletiva corporativa/escolar, 1.001-5.000 funcionários, 7 unidades/CNPJs, desde 1985, achado via WebSearch em 2026-09-17 || Canal escolhido: Email || Variação A: Assunto: HPC Cleaner para as cozinhas industriais da SHA

Olá,

Sou da Neolimpeza, distribuidora exclusiva da linha Eco Renova de produtos de limpeza institucional e industrial (HPC).

A SHA opera cozinhas industriais de grande volume para alimentação coletiva há quase 40 anos, com várias unidades — rotina que exige sanitização pesada e constante. Quero apresentar o HPC Cleaner, produto da nossa linha desenvolvido justamente para esse tipo de operação, com uma demonstração gratuita.

Tem 15 minutos essa semana para conversarmos?

Atenciosamente,
Neolimpeza — Distribuidora exclusiva Eco Renova || Variação B: Assunto: Piloto gratuito de limpeza — cozinhas industriais SHA

Olá, tudo bem?

Sou da Neolimpeza, distribuidora exclusiva dos produtos Eco Renova. Preciso entender a rotina de sanitização das cozinhas industriais da SHA para propor um piloto gratuito do nosso HPC Cleaner e da linha completa, sem custo e sem compromisso.

Podemos marcar uma conversa rápida essa semana?

Abraço,
Neolimpeza"
Anaci Gonçalves (RH — fora do perfil-alvo de decisor);;Zanchetta Alimentos Ltda (Grupo Zanchetta / Alliz);"Não identificado (decisor-alvo de Compras/Industrial/Qualidade); único contato nomeado é de RH";zanchetta@zanchetta.com.br (institucional — Anaci Gonçalves, Gerente de RH, identificada mas fora do perfil-alvo de decisor);01533639600;;;Morno;WebSearch;;"Motivo de inclusão: Segmento: ICP frio ""indústria de alimentos"", subsegmento frigorífico avícola integrado, 1.163 funcionários, complexo de 420.000 m², investimento de R$730 milhões em nova planta em Conchal, achado via WebSearch em 2026-09-17 || Canal escolhido: Email || Variação A: Assunto: HPC Cleaner para o abate e processamento — Grupo Zanchetta

Olá,

Sou da Neolimpeza, distribuidora exclusiva da linha Eco Renova de produtos de limpeza institucional e industrial (HPC).

O Grupo Zanchetta opera um complexo integrado de abate e processamento de aves em Boituva, com expansão em curso em Conchal — operação que exige sanitização pesada e contínua em câmaras frias e linhas de abate. Quero apresentar o HPC Cleaner, produto desenvolvido para esse tipo de rotina industrial de alimentos, com uma demonstração gratuita.

Tem 15 minutos essa semana ou a próxima para conversarmos?

Atenciosamente,
Neolimpeza — Distribuidora exclusiva Eco Renova || Variação B: Assunto: Piloto gratuito de sanitização industrial — Zanchetta

Olá, tudo bem?

Sou da Neolimpeza, distribuidora exclusiva dos produtos Eco Renova. Com a expansão da nova planta em Conchal, preciso entender como está estruturada a rotina de sanitização de vocês para propor um piloto gratuito do nosso HPC Cleaner e da linha completa, sem custo e sem compromisso.

Podemos marcar uma conversa rápida nos próximos dias?

Abraço,
Neolimpeza"
