Nome,Empresa,Domínio,Cargo/Segmento,Rede(s),URL do Perfil,Motivo de Inclusão,Fit + racional,Temperatura,"E-mail (ou ""Não encontrado"")","Telefone (ou ""Não encontrado"")",Fonte do contato (Kipflow/fallback/nenhum),Contato de contabilidade descartado (Sim/Não),Mensagem redigida (Sim/Não),Fonte/Data da coleta
Não identificado,Nova Preciosa Indústria de Produtos Alimentícios Ltda,preciosaalimentos.com.br,"Indústria de alimentos (farinha de mandioca e derivados, CNAE 1063500, pequeno porte, faturamento 10M-20M), Paulínia (RM Campinas)",Nenhuma (WebSearch + Kipflow; Apify disponível na rodada de hoje),Não encontrado,"Segmento - empresa-alvo do ICP frio ""indústria de alimentos"", fábrica com investimento de R$ 3 milhões confirmado no Centro Industrial de Paulínia (CIP), identificada via WebSearch em 08/08/2026 (fonte: paulinia.sp.gov.br)","Alto - fábrica dedicada à produção de alimentos, investimento recente confirmado por notícia oficial da prefeitura, segmento e região corretos",Morno,contato@preciosaalimentos.com.br,1930433604,"Kipflow (contacts/v1/emails: caixa genérica CONTATO@, ENTREGAVEL; companies/v1/search confirmou CNAE/porte; contacts/v1/phones)","Não (único candidato retornado é caixa genérica, não é contabilidade)",Sim,WebSearch (paulinia.sp.gov.br) + Kipflow real em 2026-08-08
Michel Grojean,Doremus Alimentos Ltda,doremus.com.br,"Diretor de Operações; Indústria de alimentos (aromas, ingredientes e aditivos para alimentos e bebidas, CNAE 1099699, porte DEMAIS, 500-999 funcionários), Guarulhos",LinkedIn (cargo confirmado via SERP),https://www.linkedin.com/in/michel-grojean-5aa603128/,"Segmento - empresa-alvo do ICP frio ""indústria de alimentos"" (aromas/ingredientes), Guarulhos, região-alvo, identificada via WebSearch em 08/08/2026","Médio - fabricante de insumos/ingredientes para a indústria de alimentos (não processamento direto de alimentos), mas dentro do ICP; empresa de porte robusto (500-999 funcionários)",Quente,michel@doremus.com.br,1124363333,Kipflow (contacts/v1/emails: VALIDO; companies/v1/search confirmou CNAE/porte; contacts/v1/phones); cargo confirmado via SERP/LinkedIn,"Não (Diretor de Operações confirmado via LinkedIn, não contabilidade)",Sim,WebSearch + Kipflow + LinkedIn real em 2026-08-08
Lucas Pontes,Ultrapan Indústria e Comércio Ltda,ultrapan.com.br,"Cargo não confirmado; Indústria de alimentos/bebidas (néctares, isotônicos, energéticos, CNAE 1099699, porte DEMAIS, 100-249 funcionários), Valinhos (RM Campinas)",Nenhuma (cargo não confirmável via SERP),Não encontrado,"Segmento - empresa-alvo do ICP frio ""indústria de alimentos"" (fabricante de bebidas), Valinhos, região-alvo, identificada via WebSearch (Econodata) em 08/08/2026","Alto - fabricante direto de bebidas/alimentos, porte robusto (100-249 funcionários, faturamento 100M-300M), região-alvo",Quente,lucas.pontes@ultrapan.com.br,1938498899,Kipflow (contacts/v1/emails: VALIDO; companies/v1/search confirmou CNAE/porte; contacts/v1/phones),"Não (SERP não encontrou associação a escritório contábil; aceito por filtro negativo, cargo exato não confirmado)",Sim,WebSearch (Econodata) + Kipflow real em 2026-08-08
Andre Miyazaki,Novozymes Latin America Ltda (Novonesis),novonesis.com,"Cargo não confirmado; Indústria de alimentos (fermentos, leveduras e culturas para alimentos), planta em Valinhos; CNAE principal no Kipflow registrado como químicos orgânicos, porte DEMAIS, 500-999 funcionários",Nenhuma (cargo não confirmável via SERP),Não encontrado,"Segmento - empresa-alvo do ICP frio ""indústria de alimentos"" (fermentos/culturas para alimentos), Valinhos, região-alvo, identificada via WebSearch (Econodata) em 08/08/2026",Médio - multinacional de biosoluções para a indústria de alimentos; CNAE principal registrado no Kipflow como químico orgânico (não estritamente alimentício) e processo de compras possivelmente mais centralizado/lento por ser multinacional grande,Quente,andre@novonesis.com,Não encontrado,Kipflow (contacts/v1/emails: VALIDO; companies/v1/search; contacts/v1/phones sem registro - COMPANY_NOT_FOUND),"Não (SERP não encontrou associação a escritório contábil; aceito por filtro negativo, cargo exato não confirmado)",Sim,WebSearch (Econodata) + Kipflow real em 2026-08-08
Mario,Nha Benta Indústria de Alimentos Ltda,nhabenta.com.br,"Cargo não confirmado (provável proprietário); Indústria de alimentos (torrefação e moagem de café), Sorocaba",Nenhuma,Não encontrado,"Segmento - empresa-alvo do ICP frio ""indústria de alimentos"" (torrefação de café), Sorocaba, CNPJ confirmado via WebSearch em 08/08/2026","Médio - torrefadora/moageira de café, indústria de alimentos, empresa pequena/média, CNPJ e endereço confirmados",Quente,mario@nhabenta.com.br,1143444755,"WebSearch (descubraonline.com, diretório com CNPJ/e-mail/telefone real); Kipflow companies/v1/search e contacts/v1/emails sem registro (COMPANY_NOT_FOUND/NO_EMAILS_FOUND), contacts/v1/phones retornou linhas adicionais (DDD 11, possível linha administrativa)",Não (não há indício de ser contabilidade),Sim,WebSearch (descubraonline.com) + Kipflow real em 2026-08-08
Não identificado,LGK Metalúrgica,lgkmetalurgica.com.br,"Indústria de peças (estamparia, corte e dobra de chapas, usinagem de precisão, peças técnicas), desde 1975, Osasco (Grande São Paulo)",Nenhuma,Não encontrado,"Segmento - empresa-alvo do ICP frio ""indústria de peças"", Osasco (Grande SP), identificada via WebSearch em 08/08/2026","Alto - metalúrgica estabelecida desde 1975, planta própria, fabricação de peças técnicas e estamparia",Morno,Não encontrado,11945664710,Kipflow (contacts/v1/phones - WhatsApp confirmado; companies/v1/search e contacts/v1/emails sem registro - COMPANY_NOT_FOUND),Não (nenhum candidato nominal para checar),Sim,WebSearch + Kipflow real em 2026-08-08
Evandro Estevam,Kromaflex Usinagem Ltda,kromaflexusinagem.com.br,"Cargo não confirmado; Indústria de peças (usinagem, solda, tratamento de metais - foco automotivo, CNAE 2539001, porte DEMAIS, 50-99 funcionários, faturamento 30M-40M), Hortolândia (RM Campinas)",Nenhuma (cargo não confirmável via SERP),Não encontrado,"Segmento - empresa-alvo do ICP frio ""indústria de peças"" (usinagem automotiva), Hortolândia (RM Campinas), identificada via WebSearch em 08/08/2026","Alto - usinagem automotiva, ISO 9001, planta de 6.000 m², porte robusto",Quente,evandro@kromaflexusinagem.com.br,1938094690,Kipflow (contacts/v1/emails: VALIDO; companies/v1/search confirmou CNAE/porte; contacts/v1/phones),"Não (SERP não encontrou associação a escritório contábil; aceito por filtro negativo, cargo exato não confirmado)",Sim,WebSearch + Kipflow real em 2026-08-08
Não identificado,Indústria Mecânica Skram Ltda,skram.com.br,"Indústria de peças (usinagem, máquinas-ferramenta, CNAE 2840200/2539001, pequeno porte, Simples Nacional, faturamento 1M-2M), Sorocaba",Nenhuma,Não encontrado,"Segmento - empresa-alvo do ICP frio ""indústria de peças"" (usinagem), Sorocaba, identificada via WebSearch (guiafacil.com) em 08/08/2026","Médio - usinagem de pequeno porte, quase 25 anos de atuação, fonte única de evidência",Morno,skram@skram.com.br,1532277000,"Kipflow (contacts/v1/emails: caixa genérica SKRAM@, ENTREGAVEL; companies/v1/search confirmou CNAE/porte; contacts/v1/phones - segundo número com WhatsApp confirmado)","Não (caixa genérica, não é contabilidade)",Sim,WebSearch (guiafacil.com) + Kipflow real em 2026-08-08
Não identificado,Pirion Comércio de Peças Industriais Ltda (marca SYL),syl.com.br,"Indústria de peças (fabricante de pastilhas/lonas de freio conforme site institucional; Kipflow classifica CNAE principal do CNPJ associado ao domínio como comércio de peças automotivas), Sorocaba",Nenhuma,Não encontrado,"Segmento - empresa-alvo do ICP frio ""indústria de peças"" (sistemas de freio), Sorocaba, identificada via WebSearch (syl.com.br/historia) em 08/08/2026","Médio - site institucional evidencia fábrica própria adquirida em Sorocaba em 2001, mas o CNPJ que o Kipflow associa ao domínio é classificado como comércio/distribuição de peças, não fabricação; fit rebaixado de Alto para Médio por essa divergência",Morno,comercial@syl.com.br,1532355140,"Kipflow (contacts/v1/emails: caixas genéricas COMERCIAL@/GARANTIA@/MARKETING@, ENTREGAVEL; companies/v1/search - CNAE de comércio; contacts/v1/phones)","Não (caixas genéricas, não é contabilidade)",Sim,WebSearch (syl.com.br) + Kipflow real em 2026-08-08
Não identificado,Metalusi Usinagens,metalusiusinagens.com.br,"Indústria de peças (usinagem de precisão - tornos CNC e automáticos), 30+ anos de atuação, Ribeirão Preto",Nenhuma,Não encontrado,"Segmento - empresa-alvo do ICP frio ""indústria de peças"" (usinagem de precisão), Ribeirão Preto, identificada via WebSearch em 08/08/2026","Médio-Alto - usinagem de precisão consolidada há mais de 30 anos, site institucional próprio confirma operação local no Parque Industrial Tanquinho",Morno,metalusiusinagens@gmail.com,16992710431,"WebSearch (site institucional metalusiusinagens.com.br); Kipflow companies/v1/search, contacts/v1/emails e contacts/v1/phones sem registro para o domínio (COMPANY_NOT_FOUND)","Não (caixa genérica, não é contabilidade)",Sim,WebSearch real em 2026-08-08 (Kipflow sem dados para o domínio)
