Nome|Empresa|Domínio|Cargo/Segmento|Rede(s)|URL do Perfil|Motivo de Inclusão|Fit + racional|Temperatura|E-mail|Telefone|Fonte do contato|Contato de contabilidade descartado|Mensagem redigida|Fonte/Data da coleta
Não identificado|Laticínio Atilatte Ltda|atilatte.com.br|"Sócios-administradores: André Rappa / Renato Rappa | Itatiba/SP"|WebSearch||"Segmento: ICP frio ""indústria de alimentos"", subsegmento laticínios/queijos, planta própria em Itatiba, achado via WebSearch em 2026-09-14"|Alto — Laticínio premium (iogurtes, queijos, requeijão, creme de leite, leite tipo A), ~67 funcionários; pasteurização/envase com câmaras frias e linhas que exigem higienização pesada e recorrente (biofilme/gordura de laticínio).|Morno|Não encontrado (pessoal) — geral: sac@atilatte.com.br|1148946030|fallback (WebSearch)|Não|Sim|WebSearch, 2026-09-14 — atilatte.com.br
Não identificado|Siena Alimentos Ltda (Macarrão Siena)|macarraosiena.com.br|"Sócio-Administrador: Hamilton Marchiori (também Gilson Franques Martins) | Valinhos/SP"|WebSearch||"Segmento: ICP frio ""indústria de alimentos"", subsegmento massas, porte médio confirmado 51-200 funcionários, planta própria em Valinhos, achado via WebSearch em 2026-09-14"|Alto — Fábrica de massas alimentícias desde 1985, porte 51-200 funcionários; processo com muita farinha/poeira e sanitização de linha de extrusão/embalagem (contaminação cruzada é risco relevante).|Morno|Não encontrado (pessoal) — geral: contato@macarraosiena.com.br / adm@macarraosiena.com.br|0193881550|fallback (WebSearch)|Não|Sim|WebSearch, 2026-09-14 — macarraosiena.com.br
Não identificado|"Indústria de Massas Alimentícias ""DE"" Ltda (Massas De)"|massasde.com.br|"Administradores: Jair Evangelista / Debora Roberta Evangelista | Valinhos/SP"|WebSearch||"Segmento: ICP frio ""indústria de alimentos"", subsegmento massas, planta própria em Valinhos há mais de 45 anos, achado via WebSearch em 2026-09-14"|Médio — Pastifício familiar há 49 anos, porte pequeno/médio, processo artesanal com farinha e fornos; consumo recorrente mas escala incerta.|Morno|Não encontrado|01920423272|fallback (WebSearch)|Não|Sim|WebSearch, 2026-09-14 — massasde.com.br
Não identificado|Urla Urla Distribuidora e Comércio Ltda (Sorvetes Urla)|sorvetesurla.com.br|"Sócios-Proprietários: João Carlos Ferraz / Sônia Cristina Nogueira Ferraz | Votorantim/SP (RM Sorocaba)"|WebSearch||"Segmento: ICP frio ""indústria de alimentos"", subsegmento sorvetes, planta própria e operação de atacado na RM Sorocaba, achado via WebSearch em 2026-09-14"|"Médio — Fábrica/atacadão de sorvetes (""primeiro atacadão de sorvetes de Votorantim/Sorocaba""); câmaras de congelamento e maquinário de mistura exigem sanitização regular; porte não gigante mas recorrente."|Morno|Não encontrado (pessoal) — geral: contato@sorvetesurla.com.br|015991960792|fallback (WebSearch)|Não|Sim|WebSearch, 2026-09-14 — sorvetesurla.com.br
Não identificado|Granja Itu Avicultura Ltda|granjaitu.com.br|"Não identificado | Itu/SP"|WebSearch||"Segmento: ICP frio ""indústria de alimentos"", subsegmento ovos/avicultura (pouco explorado em rodadas anteriores), planta em Itu, achado via WebSearch em 2026-09-14"|"Médio — Avicultura/ovos ""cage free"", mais de 30 anos de experiência, granjas próprias no interior de SP; resíduo orgânico/biológico intenso de aviário exige sanitização, mas porte (classificada ME) é incerto."|Morno|Não encontrado|01930374715|fallback (WebSearch)|Sim (e-mail MARCOS@USE-GE.COM.BR identificado como vinculado a escritório de contabilidade terceirizado (GE Contabilidade/Gecont), não é contato interno da Granja Itu — descartado como decisor)|Sim|WebSearch, 2026-09-14 — granjaitu.com.br
Gilmar Gueraldine Filho|KBG Indústria Alimentícia Ltda (Frigorífico KBG)|kbg.com.br|"Sócio-Administrador | Araras/SP"|WebSearch||"Segmento: ICP frio ""indústria de alimentos"", subsegmento frigorífico/processamento de carnes, planta própria em Araras, achado via WebSearch em 2026-09-14"|Alto — Frigorífico de cortes bovinos selecionados desde 2005; processo com sangue/gordura/resíduo orgânico pesado exige sanitização intensiva diária (perfil clássico de alto consumo de desengraxante/desinfetante).|Quente|gilmargf@kbg.com.br|01935433200|fallback (WebSearch — e-mail pessoal referenciado via perfil LinkedIn público do próprio Gilmar Gueraldine Filho)|Não|Sim|WebSearch, 2026-09-14 — kbg.com.br, LinkedIn público
Não identificado|Binuto Indústria e Comércio de Alimentos Ltda (Doces Binuto)|docesbinuto.com.br|"Administradores (3ª geração): Alexandre Carrijo Tasso / Hélio Tasso Junior | Franca/SP"|WebSearch||"Segmento: ICP frio ""indústria de alimentos"", subsegmento doces/confeitaria industrial, planta em Franca, achado via WebSearch em 2026-09-14"|Médio — Fábrica de doces artesanais (doce de leite, pé de moleque, goiabinha, bananinha), +75 anos; cozimento de calda em grande volume gera resíduo pegajoso/caramelizado exigindo desengordurante específico.|Morno|Não encontrado|01637221105|fallback (WebSearch)|Não|Sim|WebSearch, 2026-09-14 — docesbinuto.com.br (telefone alternativo WhatsApp: 016997782183)
Fernando Hacker|Fazenda do Chocolate Ltda|fazendadochocolate.com.br|"Sócio-Proprietário | Itu/SP"|WebSearch||"Segmento: ICP frio ""indústria de alimentos"", subsegmento chocolate/doces, planta própria em Itu; incluído para registro apesar do Fit Baixo, achado via WebSearch em 2026-09-14"|Baixo — Fábrica de chocolate artesanal de família (desde 1964), equipe pequena (~12 colaboradores no pico), operação majoritariamente turismo/loja própria, escala industrial limitada, abaixo do porte mínimo recomendado.|Frio|contato@fazendadochocolate.com.br (geral, não pessoal)|1140225492|fallback (WebSearch)|Não|Não|WebSearch, 2026-09-14 — fazendadochocolate.com.br (WhatsApp: 11999510524)
Renato Pisani|Sorvetes Pisani (Luis Renato de Oliveira Franca — ME)|pisanisorvetes.com|"Proprietário (3ª geração) | Ribeirão Preto/SP"|WebSearch||"Segmento: ICP frio ""indústria de alimentos"", subsegmento sorvetes, planta própria em Ribeirão Preto (cidade-alvo explícita), achado via WebSearch em 2026-09-14"|Médio — Fábrica de sorvetes e picolés com quase 100 anos de tradição, processo de mistura/congelamento constante; escala não confirmada mas loja própria + fábrica separada indicam operação regular.|Morno|Não encontrado|01639458510|fallback (WebSearch — perfil LinkedIn pessoal de Renato Pisani localizado como fonte de pesquisa, sem URL de contato direto capturado)|Não|Sim|WebSearch, 2026-09-14 — pisanisorvetes.com
Danilo Colherinhas Alarcon|Alarcon Cafés Especiais Ltda|alarconcafesespeciais.com.br|"Proprietário | Ribeirão Preto/SP"|WebSearch||"Segmento: ICP frio ""indústria de alimentos"", subsegmento café torrado, planta local em Ribeirão Preto; incluído para registro apesar do Fit Baixo, achado via WebSearch em 2026-09-14"|"Baixo — Torrefação própria (3ª geração), mas operação majoritariamente cafeteria/varejo com torra ""in loco"" em pequena escala, não planta industrial de grande volume; potencial de consumo de químico pesado é limitado."|Frio|contato@alarcon.com.br (geral, não pessoal)|01636235835|fallback (WebSearch)|Não|Não|WebSearch, 2026-09-14 — alarconcafesespeciais.com.br
André Almeron de Arruda|Isofund Fundição e Modelação|isofund.com.br|"Sócio-Administrador | Itu/SP"|WebSearch||"Segmento: ICP frio ""indústria de peças"", subsegmento fundição (pouco explorado em rodadas anteriores), planta em Itu, achado via WebSearch em 2026-09-14"|Alto — Fundição de ferro/aço com modelação própria; processo gera areia de macho, óleo desmoldante e resíduo metálico pesado, exigindo limpeza industrial intensiva de piso e equipamentos. Porte pequeno-médio compatível com desconto máx. 8%.|Morno|Não encontrado|1140223403|fallback (WebSearch)|Não|Sim|WebSearch, 2026-09-14 — isofund.com.br (telefone alt: 11975153217)
Vera Lucia Souza de Campos|JC Baldes (JC Embalagens OZ Ltda)|jcbaldes.com.br|"Administradora | Salto/SP"|WebSearch||"Segmento: ICP frio ""indústria de peças"", subsegmento injeção plástica técnica/embalagens industriais, cidade Salto, achado via WebSearch em 2026-09-14"|Médio — Injeção plástica de peças técnicas e baldes industriais para indústria têxtil, química e alimentícia; ISO 9001, óleo de desmoldagem e lubrificantes de injetora geram resíduo, porte pequeno-médio.|Morno|Não encontrado|1140212355|fallback (WebSearch)|Não|Sim|WebSearch, 2026-09-14 — jcbaldes.com.br
Não identificado|Wellpar Indústria de Parafusos Ltda|wellpar.com.br|"Não identificado | Itaquaquecetuba/SP"|WebSearch||"Segmento: ICP frio ""indústria de peças"", subsegmento parafusaria/fixadores, cidade Itaquaquecetuba, achado via WebSearch em 2026-09-14"|Alto — Fabricação de parafusos e peças especiais para linha automotiva, tratoristas e geradores; conformação a frio/rosqueamento intensivo em óleo de corte e refrigeração. Quase 40 anos de mercado, atende exclusivamente atacado/indústria.|Frio|contato@wellpar.com.br (genérico da empresa, não pessoal)|Não encontrado|fallback (WebSearch)|Não|Não|WebSearch, 2026-09-14 — wellpar.com.br
Edilson Luiz de Oliveira|Cromadora Art Cromo Ltda|artcromorp.com.br|"Administrador/Sócio | Ribeirão Preto/SP"|WebSearch||"Segmento: ICP frio ""indústria de peças"", subsegmento cromação/niquelação/zincagem, empresa específica em Ribeirão Preto ainda não vista, achado via WebSearch em 2026-09-14"|Alto — Cromação, niquelação e zincagem desde 1973. Tratamento de superfície exige desengraxe intenso antes de cada banho eletrolítico — uso pesado de produtos de limpeza industrial é parte central do processo.|Morno|artcromo@live.com (institucional/genérico, não confirmado como pessoal do decisor)|01636264976|fallback (WebSearch)|Não|Sim|WebSearch, 2026-09-14 — artcromorp.com.br (observação: dois endereços associados ao nome comercial em Ribeirão Preto, possivelmente duas unidades — confirmar na abordagem)
Não identificado|Polymer Plastic Indústria e Comércio Ltda|polymerplastic.com.br|"Não identificado | Diadema/SP"|WebSearch||"Segmento: ICP frio ""indústria de peças"", subsegmento plásticos técnicos de engenharia (fornecedor automotivo certificado), cidade Diadema/ABC, achado via WebSearch em 2026-09-14"|Médio — Injeção plástica técnica para setor automotivo, certificações IATF 16949, EcoVadis e VDA 6.3, porte médio (51-200 funcionários); processo plástico gera menos resíduo pesado que metalurgia, mas certificações indicam padrão de processo exigente.|Frio|financeiro@polymerplastic.com.br / rh2@polymerplastic.com.br (genéricos, não decisores)|1155105057|fallback (WebSearch)|Não|Não|WebSearch, 2026-09-14 — polymerplastic.com.br
Não identificado|Silvana Indústria Comércio de Molas e Aço Ltda|silvanamolas.com.br|"Não identificado | São Paulo/SP (Jardim Antártica)"|WebSearch||"Segmento: ICP frio ""indústria de peças"", subsegmento molas industriais (ainda não coberto em rodadas anteriores), achado via WebSearch em 2026-09-14"|Alto — Fabricação de molas helicoidais (tração/torção/compressão) e anéis elásticos desde 1987. Trefilação e enrolamento de arame usam óleo lubrificante intensamente, gerando resíduo oleoso constante.|Frio|contato@silvanamolas.com.br (genérico)|1122581404|fallback (WebSearch)|Não|Não|WebSearch, 2026-09-14 — silvanamolas.com.br (WhatsApp: 11986397191)
Sergio Volpatto|Millenium Indústria Metalúrgica Ltda|millenium-ind.com.br|"Sócio-Administrador (também Cristiane Volpatto Vezzaro, Administradora) | Pindamonhangaba/SP (unidade local; sede em Mauá/SP)"|WebSearch||"Segmento: ICP frio ""indústria de peças"", subsegmento usinagem/caldeiraria/ferramentaria, unidade local em Pindamonhangaba (cidade ainda não coberta), achado via WebSearch em 2026-09-14"|Alto — Caldeiraria, usinagem, tornearia, solda e ferramentaria; porte médio-grande (51-200 funcionários), processo intensivo em óleo de corte/refrigeração e resíduo metálico.|Morno|Não encontrado (fonte de terceiros exibiu e-mail mascarado, não confiável para uso)|01236456900|fallback (WebSearch)|Não|Sim|WebSearch, 2026-09-14 — millenium-ind.com.br (telefone sede Mauá: 1144320725)
Murilo Henrique Lorenzetti Luques|Imelux Indústria Metalúrgica Ltda|imelux.com.br|"Analista de Qualidade | Sorocaba/SP"|WebSearch||"Segmento: ICP frio ""indústria de peças"", subsegmento estamparia/metalurgia com parceiros de galvanoplastia, empresa específica em Sorocaba ainda não vista, achado via WebSearch em 2026-09-14"|Alto — Estamparia de peças metálicas desde 1964/1966, ferramentaria própria e parcerias de pintura epóxi/galvanoplastia/tratamento térmico. Médio porte, 60 anos de tradição, forte geração de resíduo metálico e oleoso.|Morno|Não encontrado (fonte de terceiros indicou domínio do e-mail mas sem endereço completo confiável)|01532236312|fallback (WebSearch/ZoomInfo/LinkedIn)|Não|Sim|WebSearch/ZoomInfo/LinkedIn, 2026-09-14 — imelux.com.br
Não identificado|Tetsu Ferramentaria Ltda|tetsuferramentaria.com.br|"Sócios-Administradores: Rosana Alves da Silva ou Mauricio Marangon (decisor operacional não confirmado) | São Paulo/SP (Jardim Orly)"|WebSearch||"Segmento: ICP frio ""indústria de peças"", subsegmento ferramentaria de moldes (pouco explorado), reforça cobertura de ferramentaria em SP capital, achado via WebSearch em 2026-09-14"|Médio — Fabricação de moldes e matrizes para borracha, plástico, alumínio e zamak; usinagem CNC de precisão. Óleo de corte e desmoldante, porte pequeno.|Morno|tetsumetalurgica@yahoo.com.br|1156143113|fallback (WebSearch)|"Sim (e-mail contibem@contibem.com.br (vinculado ao mesmo telefone institucional) identificado como escritório de contabilidade terceirizado (""Contibem""), não decisor da Tetsu — descartado, substituído pelo e-mail próprio da empresa)"|Sim|WebSearch, 2026-09-14 — tetsuferramentaria.com.br
Não identificado|Fundição Feirense Ltda|Não encontrado (sem site institucional confirmado)|"Não identificado | Sorocaba/SP (Iporanga)"|WebSearch||"Segmento: ICP frio ""indústria de peças"", subsegmento fundição/forjaria de metais não ferrosos (pouco explorado), achado via WebSearch em 2026-09-14"|Médio-Baixo — Produção de forjados de metais não ferrosos (CNAE 2531-4/02); processo tipicamente gera resíduo metálico e oleoso pesado, mas ausência de site institucional próprio sugere porte pequeno e baixa maturidade digital, reduzindo previsibilidade comercial.|Frio|Não encontrado|01532281095|fallback (WebSearch)|Não|Não|WebSearch, 2026-09-14 — Econodata/planetabrasileiro.com (sem domínio institucional confirmado)
