Nome|Empresa|Domínio|Cargo/Segmento|Rede(s)|URL do Perfil|Motivo de Inclusão|Fit + racional|Temperatura|E-mail|Telefone|Fonte do contato|Contato de contabilidade descartado|Mensagem redigida|Fonte/Data da coleta
Não identificado|Melida Comércio e Indústria Ltda|melida.com.br|"Injeção plástica técnica (peças automotivas) | Sorocaba/SP"|||"Segmento: ICP frio ""indústria de peças"", subsegmento injeção plástica técnica automotiva, 10.000 m² de área construída / 46 injetoras (até 600t), desde 1949, achado via WebSearch em 2026-09-17"|Alto — planta industrial grande (10.000 m², 46 injetoras até 600 t de fechamento), operação contínua para montadoras/sistemistas automotivos; processo gera resíduo de óleo hidráulico recorrente, forte candidato a desengraxante industrial.|Morno|financeiro@melida.com.br (institucional/financeiro — decisor não identificado)|01532381500|fallback (WebSearch)|Não|Sim|WebSearch, 2026-09-17 — melida.com.br, sindiplast.org.br
Não identificado|Mikro-Stamp Estamparia Comércio e Indústria Ltda|mikrostamp.com.br|"Estamparia de metais (automotivo/aeroespacial) | Campinas/SP"|||"Segmento: ICP frio ""indústria de peças"", subsegmento estamparia de metais, ISO 9001 + AS9100 (aeroespacial), ~38 funcionários, desde 1987, achado via WebSearch em 2026-09-17"|Alto — certificação AS9100 (aeroespacial) indica padrão de processo elevado e exigência de limpeza técnica; ~38 funcionários, 14 prensas de 4 a 320 toneladas.|Morno|Não encontrado|01937273700|fallback (WebSearch)|Não|Sim|WebSearch, 2026-09-17 — mikrostamp.com.br, rocketreach.co
Não identificado|Grupo Almar — Indústria e Comércio de Auto Peças|almar.com.br|"Fundição de metais não ferrosos e usinagem (autopeças) | Sorocaba/SP (unidade), também SP capital e Criciúma/SC"|||"Segmento: ICP frio ""indústria de peças"", subsegmento fundição de metais não ferrosos + usinagem para autopeças, 200+ funcionários, ISO 9001/IATF 16949/ISO 14001, achado via WebSearch em 2026-09-17"|Alto — unidade em Sorocaba (região-alvo), 200+ funcionários, certificação automotiva IATF 16949, +1 milhão de peças/ano; processo de fundição gera resíduo intenso de metal/óleo.|Frio — sem canal de contato confiável encontrado nesta busca (nenhum telefone/e-mail institucional confirmado), apesar de Fit Alto|Não encontrado|Não encontrado|fallback (WebSearch) — sem confirmação|Não|Não (sem canal viável)|WebSearch, 2026-09-17 — almar.com.br, ABIFA
Cibele Bim (ex-decisora — ver observação)|Presmak Técnica em Injetados Ltda|presmak.com.br|"Fundição, usinagem e acabamento de peças técnicas (alumínio/zamak, automotivo) | São Paulo/SP (capital)"|||"Segmento: ICP frio ""indústria de peças"", subsegmento fundição/usinagem de zamak e alumínio, 10.500 m², desde 1966, certificação IATF 16949, achado via WebSearch em 2026-09-17"|Médio-Alto — planta grande (10.500 m², 55+ anos) e certificação automotiva, mas localizada na capital; decisora previamente identificada (Cibele Bim, Analista de Garantia de Qualidade Sênior) confirmada via LinkedIn como tendo migrado para a Alumec — tratada como decisor não identificado nesta rodada.|Morno|Não encontrado|1120142030 (PABX)|fallback (WebSearch)|Não|Sim|WebSearch, 2026-09-17 — presmak.com.br, linkedin.com (verificação de vínculo de Cibele Bim), zoominfo.com
Marcio Mulinari|Alumec Indústria e Comércio Ltda|alumec.com.br|"Fundição sob pressão de alumínio (automotivo/linha branca) | Diadema/SP (Grande São Paulo)"|||"Segmento: ICP frio ""indústria de peças"", subsegmento fundição sob pressão de alumínio, 120 funcionários, operação 24h/3 turnos, certificação IATF 16949 + ISO 9001 + VDA 6.3, desde 1988, achado via WebSearch em 2026-09-17"|Alto — 120 funcionários, operação contínua 24h em 3 turnos (alto consumo de limpeza industrial recorrente), certificações automotivas rigorosas (IATF 16949, VDA 6.3).|Morno|compras@alumec.com.br (institucional/compras — decisor Marcio Mulinari, Gerente de Qualidade, identificado via ZoomInfo; e-mail pessoal não confirmado)|1133365353|fallback (WebSearch)|Não|Sim|WebSearch, 2026-09-17 — alumec.com.br, zoominfo.com, solutudo.com.br
Fernando Camera|Indústria Mecânica e Plásticos GABB Ltda (Grupo GABB)|grupogabb.com.br|"Injeção plástica técnica (automotivo, saúde, alimentício) | Ribeirão Pires/SP (ABC / Grande São Paulo)"|||"Segmento: ICP frio ""indústria de peças"", subsegmento injeção plástica técnica multi-indústria, desde 1962 (60+ anos), certificação ISO 9001 + IATF 16949, achado via WebSearch em 2026-09-17"|Alto — 60+ anos de operação, certificação automotiva, atende também setores de saúde e alimentício (múltiplos segmentos com exigência de higiene elevada).|Morno|Não encontrado como canal comercial confiável (e-mail trabalhe.conosco@grupogabb.com.br é de RH — não usado como decisor)|1144740299|fallback (WebSearch)|Não|Sim|WebSearch, 2026-09-17 — grupogabb.com.br, econodata.com.br, solutudo.com.br
Não identificado|Metalúrgica Harmonia Ltda|metalurgicaharmonia.com.br|"Fundição e usinagem (ferro cinzento/nodular, aço carbono, alumínio) | Nova Odessa/SP (região de Campinas)"|||"Segmento: ICP frio ""indústria de peças"", subsegmento fundição/usinagem de ferro e alumínio, ativa desde 1986, achado via WebSearch em 2026-09-17"|Baixo-Médio — evidência de porte fraca (nº de funcionários não encontrado nesta busca); incluído com ressalva.|Frio (Fit Baixo-Médio, dados de porte insuficientes)|Não encontrado|01934662959|fallback (WebSearch)|Não|Não (Frio, conforme regra de só Quente/Morno receberem mensagem)|WebSearch, 2026-09-17 — metalurgicaharmonia.com.br, cnpja.com, econodata.com.br
Não identificado|Mococa S/A Produtos Alimentícios|mococa.com.br|"Laticínios industriais (leite condensado, doce de leite, leite em pó) | Mococa/SP — RESSALVA: ~100 km da região metropolitana de Ribeirão Preto, fora do entorno imediato estrito das cidades-alvo, incluído por ser referência regional de porte relevante"|||"Segmento: ICP frio ""indústria de alimentos"", subsegmento laticínios industriais de porte nacional, desde 1919, exporta para 15+ países, vaga aberta para Gerente de Qualidade (dez/2025 e fev/2026), achado via WebSearch em 2026-09-17"|Alto — laticínio industrial de porte nacional com processo intensivo de sanitização (leite condensado, doce de leite, iogurte); sinal de contratação ativa na área de Qualidade. RESSALVA regional — ver Cargo/Segmento.|Morno|fernandacastro@mococa.com.br (institucional/comercial — decisor não identificado nominalmente)|1136657100|fallback (WebSearch)|Não|Sim|WebSearch, 2026-09-17 — mococa.com.br
Não identificado|SHA Comércio de Alimentos Ltda (Serviços em Alimentação)|sha.com.br|"Alimentação coletiva / cozinhas industriais (food service) | Jacareí/SP (Grande São José dos Campos)"|||"Segmento: ICP frio ""indústria de alimentos"" (food service), subsegmento alimentação coletiva corporativa/escolar, 1.001-5.000 funcionários, 7 unidades/CNPJs, desde 1985, achado via WebSearch em 2026-09-17"|Alto — operadora de cozinhas industriais de grande volume com múltiplas unidades; sanitização pesada e contínua em cozinha central.|Morno|contato@sha.com.br (institucional — decisor não identificado)|01230235000|fallback (WebSearch)|Não|Sim|WebSearch, 2026-09-17 — sha.com.br, econodata.com.br, linkedin.com
Anaci Gonçalves (RH — fora do perfil-alvo de decisor)|Zanchetta Alimentos Ltda (Grupo Zanchetta / Alliz)|zanchetta.com.br|"Frigorífico/processamento avícola integrado | Boituva/SP (Grande Sorocaba), expansão em Conchal/SP (Campinas)"|||"Segmento: ICP frio ""indústria de alimentos"", subsegmento frigorífico avícola integrado, 1.163 funcionários, complexo de 420.000 m², investimento de R$730 milhões em nova planta em Conchal, achado via WebSearch em 2026-09-17"|Alto — escala industrial pesada (abate, processamento, câmaras frias), expansão em curso (nova planta em Conchal), necessidade constante de saneantes industriais.|Morno|zanchetta@zanchetta.com.br (institucional — Anaci Gonçalves, Gerente de RH, identificada mas fora do perfil-alvo de decisor)|01533639600|fallback (WebSearch)|Não|Sim|WebSearch, 2026-09-17 — zanchetta.com.br, br.linkedin.com/company/grupo-zanchetta, bvmi.com.br, investe.sp.gov.br
