Nome,Empresa,Domínio,Cargo/Segmento,Rede(s),URL do Perfil,Motivo de Inclusão,Fit + racional,Temperatura,"E-mail (ou ""Não encontrado"")","Telefone (ou ""Não encontrado"")",Fonte do contato (Kipflow/fallback/nenhum),Contato de contabilidade descartado (Sim/Não),Mensagem redigida (Sim/Não),Fonte/Data da coleta
Não identificado,Milk Mu (Milkmu Indústria de Alimentos Ltda),milkmu.com.br,"Segmento: Indústria de alimentos (fábrica de sorvete de massa artesanal, fundada em 2014, Parque Via Norte, Campinas/SP)",Instagram,https://www.instagram.com/milkmu.sorvetes/,"Segmento - ICP frio ""indústria de alimentos"", Campinas (região-alvo), identificada via WebSearch em 15/08/2026","Médio - fábrica de sorvete de porte pequeno/médio, segmento e região corretos, sem e-mail/telefone institucional confirmado (apenas Instagram business ativo, 1.158 seguidores)",Morno,Não encontrado,Não encontrado,"Fallback (WebSearch real: Facebook/Instagram/Econodata confirmaram a empresa; site oficial milkmu.com.br não respondeu ao fetch em 15/08/2026, e-mail/telefone não localizados)","Não (nenhum candidato de contabilidade envolvido, canal é Instagram institucional)",Sim,"WebSearch + Apify (instagram-post-scraper, instagram-comment-scraper, harvestapi/linkedin-profile-posts, rag-web-browser) em 15/08/2026"
Não identificado,Bel Massas (Indústria Alimentícia),belmassas.com.br,"Segmento: Indústria de alimentos (fábrica de massas alimentícias - pastel, lasanha, nhoque, pizza - desde 1994, transferida para Sorocaba em 1995)",Site institucional,https://belmassas.com.br/,"Segmento - ICP frio ""indústria de alimentos"", Sorocaba (região-alvo), identificada via WebSearch em 15/08/2026","Alto - fábrica de massas estabelecida há +30 anos, região-alvo exata, canal de contato confirmado (WhatsApp/telefone reais no site)",Morno,Não encontrado,15 99603-4950 (WhatsApp) / 15 3221-2691,"Fallback (Apify rag-web-browser, fetch real de belmassas.com.br/contato/ em 15/08/2026 - só formulário e telefones, sem e-mail publicado)","Não (não há e-mail publicado, contato é telefone/WhatsApp direto da fábrica)",Sim,"WebSearch + Apify (instagram-post-scraper, instagram-comment-scraper, harvestapi/linkedin-profile-posts, rag-web-browser) em 15/08/2026"
Não identificado,Comal-Arroz Ltda,comal.com.br,"Segmento: Indústria de alimentos (beneficiamento de arroz, empresa familiar fundada em 1977 em Mogi das Cruzes, adquirida em 2022 pela ADB Alimentos-RS, planta local segue operando)",Site institucional,https://www.comal.com.br/contato,"Segmento - ICP frio ""indústria de alimentos"", Mogi das Cruzes (Grande São Paulo, região-alvo), identificada via WebSearch em 15/08/2026","Alto - indústria de beneficiamento de arroz de porte relevante, região-alvo, canal de e-mail institucional confirmado; atenção: planta foi adquirida pela ADB Alimentos-RS em 2022, decisão de compra pode não ser mais 100% local",Morno,site@comal.com.br,Não encontrado,"Fallback (Apify rag-web-browser, fetch real de comal.com.br/contato em 15/08/2026)","Não (e-mail institucional genérico, não é contabilidade)",Sim,"WebSearch + Apify (instagram-post-scraper, instagram-comment-scraper, harvestapi/linkedin-profile-posts, rag-web-browser) em 15/08/2026"
Não identificado,Hagra Foods Ltda,hagrafoods.com.br,"Segmento: Indústria de alimentos (fabricante de molhos para food service, fundada em 2022, Sorocaba/SP, ~2-10 funcionários)",Instagram,https://www.instagram.com/hagrafoods/,"Segmento - ICP frio ""indústria de alimentos"" (food service), Sorocaba (região-alvo), identificada via WebSearch em 15/08/2026","Médio - empresa jovem e pequena (2-10 funcionários), segmento e região corretos, sem e-mail/telefone institucional localizado (apenas Instagram e LinkedIn confirmados)",Morno,Não encontrado,Não encontrado,"Fallback (WebSearch real: LinkedIn/Instagram confirmaram a empresa e o site hagrafoods.com.br; fetch direto do site falhou em 15/08/2026, e-mail/telefone não localizados)","Não (nenhum candidato de contabilidade envolvido, canal é Instagram institucional)",Sim,"WebSearch + Apify (instagram-post-scraper, instagram-comment-scraper, harvestapi/linkedin-profile-posts, rag-web-browser) em 15/08/2026"
Não identificado,Barba Usinagem,barbausinagem.com.br,"Segmento: Indústria de peças (usinagem, tornearia, fresagem e solda sob medida, fundada em 2019)",Site institucional,https://barbausinagem.com.br/,"Segmento - ICP frio ""indústria de peças"", Ribeirão Preto (região-alvo), identificada via WebSearch em 15/08/2026","Médio - oficina de usinagem de pequeno/médio porte, região-alvo exata, canal de contato institucional completo (e-mail e WhatsApp confirmados)",Morno,barbausinagem@gmail.com,16 99136-1045 (WhatsApp) / 16 99191-8920 / 16 3900-1669,"Fallback (Apify rag-web-browser, fetch real de barbausinagem.com.br em 15/08/2026)","Não (e-mail institucional da própria oficina, não é contabilidade)",Sim,"WebSearch + Apify (instagram-post-scraper, instagram-comment-scraper, harvestapi/linkedin-profile-posts, rag-web-browser) em 15/08/2026"
Não identificado,RPV Usinagens (R.P. Vilela Equipamentos Industriais Ltda),rpvilela.com.br,"Segmento: Indústria de peças (micro-usinagem CNC de precisão, empresa familiar fundada em 2001, certificação ISO 9001)",Site institucional,https://rpvilela.com.br/contato/,"Segmento - ICP frio ""indústria de peças"", Ribeirão Preto (região-alvo), identificada via WebSearch em 15/08/2026","Médio - usinagem de precisão de pequeno/médio porte com certificação ISO 9001, região-alvo exata, canal de contato institucional confirmado",Morno,contato@rpvilela.com.br,16 3914-2167 / 16 3289-2764,"Fallback (Apify rag-web-browser, fetch real de rpvilela.com.br/contato/ em 15/08/2026)","Não (e-mail institucional da própria usinagem, não é contabilidade)",Sim,"WebSearch + Apify (instagram-post-scraper, instagram-comment-scraper, harvestapi/linkedin-profile-posts, rag-web-browser) em 15/08/2026"
Não identificado,Galeão Indústria Metalúrgica Ltda,galeaosp.com.br,"Segmento: Indústria de peças (usinagem e caldeiraria pesada sob encomenda, fundada em 1992, ISO 9001:2015, clientes incluem Gerdau, Mahle, CSN, Villares Metals)",Site institucional,https://www.galeaosp.com.br/,"Segmento - ICP frio ""indústria de peças"", São Bernardo do Campo (Grande São Paulo, região-alvo), identificada via WebSearch em 15/08/2026","Alto - metalúrgica pesada estabelecida há +30 anos, ISO 9001:2015, carteira de clientes industriais relevante (Gerdau, Mahle, CSN), canal de contato institucional confirmado",Morno,galeaosp@galeaosp.com.br,+55 11 4366-3366,"Fallback (Apify rag-web-browser, fetch real de galeaosp.com.br em 15/08/2026)","Não (e-mail institucional da própria metalúrgica, não é contabilidade)",Sim,"WebSearch + Apify (instagram-post-scraper, instagram-comment-scraper, harvestapi/linkedin-profile-posts, rag-web-browser) em 15/08/2026"
Não identificado,ATL Usinagem Industrial Ltda,atlusinagem.com.br,"Segmento: Indústria de peças (fabricante de produtos metálicos usinados, fundada em 1986, certificação ISO 9000)",Site institucional,http://www.atlusinagem.com.br/crbst_4.html,"Segmento - ICP frio ""indústria de peças"", São José dos Campos (região-alvo), identificada via WebSearch em 15/08/2026","Alto - usinagem industrial estabelecida há quase 40 anos, certificação ISO 9000, região-alvo exata, canal de contato institucional completo (múltiplos e-mails e telefones)",Morno,atl@atlusinagem.com.br,(12) 3512-8300 / (12) 3512-8438,"Fallback (Apify rag-web-browser, fetch real de atlusinagem.com.br em 15/08/2026)","Não (e-mails institucionais da própria empresa - geral, orçamento, SAC -, nenhum de contabilidade)",Sim,"WebSearch + Apify (instagram-post-scraper, instagram-comment-scraper, harvestapi/linkedin-profile-posts, rag-web-browser) em 15/08/2026"
Não identificado,Antonelli Usinagem (Indústria Mecânica Antonelli Ltda),antonelli.com.br,"Segmento: Indústria de peças (usinagem de precisão para indústria pesada - mineração, siderurgia, papel e celulose, energia -, fundada em 1986)",Site institucional,https://antonelli.com.br/contato/,"Segmento - ICP frio ""indústria de peças"", Santo André (Grande São Paulo, região-alvo), identificada via WebSearch em 15/08/2026","Alto - usinagem de precisão para indústria pesada há +30 anos, região-alvo exata, canal de contato institucional completo (e-mail, telefone e WhatsApp confirmados)",Morno,contato@antonelli.com.br,(11) 97681-2429 (WhatsApp) / (11) 4453-7168 / (11) 4453-5271,"Fallback (Apify rag-web-browser, fetch real de antonelli.com.br/contato/ em 15/08/2026)","Não (e-mail institucional da própria empresa, não é contabilidade)",Sim,"WebSearch + Apify (instagram-post-scraper, instagram-comment-scraper, harvestapi/linkedin-profile-posts, rag-web-browser) em 15/08/2026"
Não identificado,I T A L - Indústria de Transformação de Alumínio LTDA,ital.ind.br,"Segmento: Indústria de peças (fundição de metais não ferrosos - alumínio, processos areia verde/coquilha/shell molding -, fundada em 1989)",Site institucional,https://ital.ind.br/contato/,"Segmento - ICP frio ""indústria de peças"", Sorocaba (região-alvo), identificada via WebSearch em 15/08/2026","Alto - fundição industrial pesada com +36 anos de atuação, região-alvo exata, canal de contato institucional completo (e-mail, telefones fixos e WhatsApp)",Morno,ital@ital.ind.br,(15) 3225-2368 / (15) 3325-1024 / (15) 99611-5702 (WhatsApp),"Fallback (Apify rag-web-browser, fetch real de ital.ind.br/contato/ em 15/08/2026)","Não (e-mail institucional da própria fundição, não é contabilidade)",Sim,"WebSearch + Apify (instagram-post-scraper, instagram-comment-scraper, harvestapi/linkedin-profile-posts, rag-web-browser) em 15/08/2026"
