Nome|Empresa|Domínio|Cargo/Segmento|Rede(s)|URL do Perfil|Motivo de Inclusão|Fit + racional|Temperatura|"E-mail (ou ""Não encontrado"")"|"Telefone (ou ""Não encontrado"")"|Fonte do contato (Kipflow/fallback/nenhum)|Contato de contabilidade descartado (Sim/Não)|Mensagem redigida (Sim/Não)|Fonte/Data da coleta
Ricardo Rangel|Frigorífico Suzano|frigorificosuzano.com.br|Gerente Industrial — Indústria de alimentos (frigorífico/abate de suínos, +45 anos, ~700 animais/dia)|Nenhuma (achado via WebSearch)|https://www.frigorificosuzano.com.br/|"Segmento: ICP frio ""indústria de alimentos"", Suzano/SP (Grande São Paulo, região-alvo), achado via WebSearch em 2026-08-27"|Alto - segmento-core (frigorífico), região-alvo confirmada, decisor industrial nomeado e localizado via LinkedIn|Morno|contato@frigorificosuzano.com.br (institucional, achado na página Trabalhe Conosco - não é e-mail pessoal do decisor)|(11) 4748-0621|fallback (WebSearch)|Não|Sim|WebSearch, 2026-08-27
Não identificado|Master Kitchen|masterkitchen.com.br|Não identificado — Indústria de alimentos (cozinha industrial/food service, +150 funcionários, ~2 milhões de refeições/ano)|Nenhuma (achado via WebSearch)|https://www.masterkitchen.com.br/|"Segmento: ICP frio ""indústria de alimentos"", São Bernardo do Campo/SP (Grande São Paulo, região-alvo), achado via WebSearch em 2026-08-27"|Alto - porte grande, cozinha industrial própria, região-alvo confirmada; sem decisor nomeado nas fontes públicas|Morno|Não encontrado|(11) 4128-1000|fallback (WebSearch)|Não|Sim|WebSearch, 2026-08-27
Luiz Andrade|GL Foods Worldwide Ltda|glfoods.ind.br|Gerente Fiscal — Indústria de alimentos (subsidiária Griffith Laboratories, fábrica desde 2018, 140 empregos)|Nenhuma (achado via WebSearch)|https://www.glfoods.ind.br/|"Segmento: ICP frio ""indústria de alimentos"", Jundiaí/SP (Grande São Paulo, região-alvo), achado via WebSearch em 2026-08-27"|Médio - segmento e porte batem, mas o único decisor localizado é da área fiscal, não do industrial/compras/qualidade|Morno|glfiscal@glfoods.ind.br|(11) 2923-8500|fallback (WebSearch)|Não|Sim|WebSearch, 2026-08-27
Não identificado|Show Pães|showpaes.com.br|Não identificado — Indústria de alimentos (panificação industrial, pães ultracongelados, ~40 funcionários)|Instagram (@showpaes_)|https://www.instagram.com/showpaes_/|"Segmento: ICP frio ""indústria de alimentos"", Guarulhos/SP (Grande São Paulo, região-alvo), achado via WebSearch em 2026-08-27"|Médio - segmento bate, porte pequeno, único canal encontrado foi o Instagram (sem e-mail/telefone confirmado)|Morno|Não encontrado|Não encontrado|fallback (WebSearch)|Não|Sim|WebSearch, 2026-08-27
Não identificado|Rede Alimentare|redealimentare.com.br|Não identificado — Indústria de alimentos (cozinha industrial/restaurante industrial, ~59 mil refeições/dia, 458 funcionários)|Nenhuma (achado via WebSearch)|https://www.redealimentare.com.br/|"Segmento: ICP frio ""indústria de alimentos"", Campinas/SP (região-alvo), achado via WebSearch em 2026-08-27"|Alto - porte grande, região-alvo confirmada, contato institucional real (e-mail de contratos)|Morno|contratos@redealimentare.com.br|(19) 2512-1414|fallback (WebSearch)|Não|Sim|WebSearch, 2026-08-27
Luciano Ferreira|Degusta Nutrição|degustanutricao.com.br|Cargo não confirmado — Indústria de alimentos (restaurante corporativo/cozinha industrial, 16 anos de atuação)|LinkedIn (perfil pessoal, cargo não confirmado)|https://www.linkedin.com/in/luciano-ferreira-998a27115|"Segmento: ICP frio ""indústria de alimentos"", Campinas/SP (região-alvo), achado via WebSearch em 2026-08-27"|Médio - segmento bate, decisor vinculado à empresa no LinkedIn mas cargo não confirmado, sem e-mail/telefone|Morno|Não encontrado|Não encontrado|fallback (WebSearch)|Não|Sim|WebSearch, 2026-08-27
Não identificado|Quinoa Salgados Integrais|salgadosquinoa.com|Não identificado — Indústria de alimentos (fabricação de salgados integrais)|Nenhuma (achado via WebSearch)|https://www.salgadosquinoa.com/|"Segmento: ICP frio ""indústria de alimentos"", Sorocaba/SP (região-alvo), achado via WebSearch em 2026-08-27"|Baixo - dados mínimos, endereço físico e porte não confirmados pelas fontes|Frio|Não encontrado|Não encontrado|fallback (WebSearch)|Não|Não (sem canal viável)|WebSearch, 2026-08-27
Não identificado|Sorvetes Rochinha|sorvetesrochinha.com.br|Não identificado — Indústria de alimentos (fábrica de sorvetes/gelados, +40 anos de marca)|Nenhuma (achado via WebSearch)|https://www.sorvetesrochinha.com.br/|"Segmento: ICP frio ""indústria de alimentos"", São José dos Campos/SP (região-alvo), achado via WebSearch em 2026-08-27"|Médio - segmento e região batem, mas produção com processos ainda manuais sugere porte menor|Morno|Não encontrado (e-mail aparecia truncado nas fontes, não confirmado)|(11) 5052-0078|fallback (WebSearch)|Não|Sim|WebSearch, 2026-08-27
Não identificado|Laticínios Coral|Não encontrado (sem site institucional localizado)|Não identificado — Indústria de alimentos (laticínios e frios)|Nenhuma (achado via WebSearch/diretórios locais)|Não encontrado|"Segmento: ICP frio ""indústria de alimentos"", Ribeirão Preto/SP (região-alvo), achado via WebSearch em 2026-08-27"|Médio - segmento bate, mas é negócio local pequeno, sem site institucional próprio|Morno|Não encontrado|(16) 3625-3501|fallback (WebSearch)|Não|Sim|WebSearch, 2026-08-27
Rafael de Sousa Oliveira|Life Sucos (unidade Ribeirão Preto)|lifesucos.com.br|CEO (de distribuidoras Life Sucos em outras cidades, não confirmado para a unidade de RP) — Indústria de alimentos (sucos integrais)|Nenhuma (achado via WebSearch)|https://www.lifesucos.com.br/|"Segmento: ICP frio ""indústria de alimentos"", Ribeirão Preto/SP (região-alvo), achado via WebSearch em 2026-08-27 - RESSALVA: planta industrial real está registrada em Tabatinga/SP (fora da região-alvo); unidade de RP pode ser só ponto de distribuição/franquia"|Baixo - presença de planta industrial na região-alvo não confirmada, provável ponto de distribuição, não fábrica|Frio|Não encontrado|(16) 99789-0827|fallback (WebSearch)|Não|Não (sem canal viável)|WebSearch, 2026-08-27
