Nome|Empresa|Domínio|Cargo/Segmento|Rede(s)|URL do Perfil|Motivo de Inclusão|Fit + racional|Temperatura|E-mail|Telefone|Fonte do contato|Contato de contabilidade descartado|Mensagem redigida|Fonte/Data da coleta
Não identificado|Cerello Correntes e Engrenagens Industriais|cerello.ind.br|Fabricante de correntes de transmissão, correntes transportadoras e engrenagens industriais (desde 1952/55) — decisor não identificado|||"Segmento: ICP frio ""indústria de peças"", subsegmento correntes e engrenagens industriais, região São Paulo (Grande São Paulo)"|Alto — Fabricação de correntes e engrenagens envolve usinagem, corte de dentes, tratamento térmico e montagem — processos com alto uso de óleo de corte e graxa de máquina, gerando sujeira pesada recorrente típica de chão de fábrica metalmecânico há mais de 70 anos de operação.|Morno|Não encontrado|1139361738|fallback (WebSearch)|Não|Sim|WebSearch, 2026-09-21 — https://www.guiamais.com.br/sao-paulo-sp/instalacoes-rurais/atacado-e-fabricacao-de-correntes/15313494-1/cerello-correntes-e-engrenagens, https://www.cerello.ind.br/, https://www.cerello.ind.br/contato, https://listatudo.com.br/sao-paulo/sao-paulo-e-regiao/sao-paulo/metal-mecanica-e-mineracao/metal-mecanica/produtos/atacado-e-fabricacao-de-correntes/cerello-correntes-e-engrenagens/
Fábio Merati|Merati (Merati Ltda / Merati & Cia)|merati.com.br|Gerente Industrial — fabricante de engrenagens e polias mecânicas desde 1951|||"Segmento: ICP frio ""indústria de peças"", subsegmento engrenagens e polias mecânicas, região São Paulo (Grande São Paulo)"|Alto — Fabricante de engrenagens de precisão e polias desde 1951; corte/fresamento de dentes e usinagem geram consumo constante de óleo de corte e graxa, com necessidade recorrente de limpeza e desengraxe de máquinas e piso.|Morno|merati@merati.com.br|1132218160|fallback (WebSearch)|Não|Sim|WebSearch, 2026-09-21 — https://merati.com.br/empresa, https://www.merati.com.br/contato, https://www.linkedin.com/in/fábio-merati-b6b32928/, https://www.linkedin.com/company/merati-ltda, https://www.solucoesindustriais.com.br/transmissoes/merati/localizacao
Não identificado|Casa das Engrenagens e Correntes Ltda|casadasengrenagens.com.br|Fornecedor de engrenagens e correntes para manutenção industrial e montadoras — decisor não identificado|||"Segmento: ICP frio ""indústria de peças"", subsegmento correntes e engrenagens industriais, região Campinas"|Médio — Atua desde 1985 atendendo manutenção de máquinas e indústrias montadoras de equipamentos industriais/agrícolas com engrenagens e correntes; fontes divergem entre 'fábrica' e 'loja de ferragens/distribuidora', o que reduz a certeza sobre volume de produção própria (peso de graxa/óleo) frente a uma operação majoritariamente comercial.|Morno|vendas@casadasengrenagens.com.br|019991851182|fallback (WebSearch)|Não|Sim|WebSearch, 2026-09-21 — https://casadasengrenagens.com.br/, https://engrenabr.com.br/fornecedor/df645f81-6fec-4fa2-abef-b8b4e84493f4, https://www.yelp.com/biz/casa-das-engrenagens-e-correntes-campinas, https://cnpj.biz/56696230000191, https://www.solutudo.com.br/empresas/sp/campinas/ferramentas-utilidades/casa-das-engrenagens-e-correntes-ltda-767104
Não identificado|Lacagem Pintura Eletrostática|lacagem.com.br|Pintura eletrostática, galvanização e tratamento de superfície para peças metálicas (automotivo, construção, agrícola) — decisor não identificado|||"Segmento: ICP frio ""indústria de peças"", subsegmento pintura industrial eletrostática/tratamento de superfície, região Santana de Parnaíba (Grande São Paulo)"|Alto — Pintura eletrostática exige desengraxe/preparo de superfície intenso antes da aplicação de tinta em pó — etapa que consome grande volume de desengraxante industrial em peças metálicas recebidas de terceiros, com alta recorrência de compra.|Morno|Não encontrado|11999455406|fallback (WebSearch)|Não|Sim|WebSearch, 2026-09-21 — https://www.lacagem.com.br/pintura-eletrostatica-jundiai/, https://www.lacagem.com.br/pintura-eletrostatica-santana-parnaiba/, https://www.zoominfo.com/pic/lacagem-pintura-eletrosttica/556443355, https://www.facebook.com/p/Lacagem-Pintura-Eletrost%C3%A1tica-100041574918345/
Não identificado|Pinturas Nobre|pinturasnobre.com.br|"Pintura eletrostática e tratamento de fosfato para peças metálicas — decisor não identificado com certeza (possível ""Leandro Nobre"" como diretor, não confirmado como sendo desta empresa específica)"|||"Segmento: ICP frio ""indústria de peças"", subsegmento pintura industrial eletrostática/tratamento de superfície (fosfatização), região Sorocaba"|Alto — Combina pintura eletrostática com tratamento de fosfato — processo químico de preparo de superfície com uso intensivo de desengraxantes ácidos/alcalinos antes da fosfatização, gerando consumo recorrente de produto de limpeza industrial.|Morno|contato@pinturasnobre.com.br|015991440790|fallback (WebSearch)|Não|Sim|WebSearch, 2026-09-21 — https://pinturasnobre.com.br/, https://www.pinturasnobre.com.br/index.php?p=local, https://pinturas-nobre.business.site/, https://www.guiamais.com.br/sorocaba-sp/acabamentos-para-construcao-e-reformas/pintura-eletrostatica, https://br.linkedin.com/in/leandro-nobre-3b2288179
Davi Herrera Delgado|Delcaflex Indústria e Comércio Ltda|delcaflex.com.br|Sócio-administrador/Proprietário — fabricante de fundidos de alumínio (coquilha/sob pressão), engates rápidos, conexões e eletrodutos flexíveis metálicos|||"Segmento: ICP frio ""indústria de peças"", subsegmento fundição de alumínio (coquilha/injetado) e conexões metálicas, região Itaquaquecetuba (Grande São Paulo) — unidade/fábrica real confirmada em Itaquaquecetuba-SP, sede formal em Camanducaia-MG"|Alto — Fundição de alumínio sob pressão/coquilha e usinagem de conexões geram fuligem, óleo desmoldante e graxa de máquina em volume relevante; empresa com mais de 51 anos de operação e unidade fabril própria confirmada em Itaquaquecetuba, dentro da região-alvo mesmo com sede formal em MG.|Quente|davi@delcaflex.com.br|1146103737|fallback (WebSearch)|Não|Sim|WebSearch, 2026-09-21 — https://www.delcaflex.com.br/fundicao-de-aluminio, https://www.delcaflex.com.br/contato, https://www.diariocidade.com/sp/itaquaquecetuba/guia/delcaflex-industria-e-comercio-ltda-05752518000286/, https://www.econodata.com.br/consulta-empresa/05752518000286-delcaflex-industria-e-comercio-ltda, https://www.zoominfo.com/p/Antonio-Canoleze/11339876392
Não identificado|Stamp-Valle Indústria e Comércio Ltda (STAMPVALLE)|stampvalle.com.br|Gerente Industrial mencionado em diretório (nome não disponível publicamente) — corte a laser, dobra CNC, puncionamento, solda e pintura eletrostática de peças metálicas, ISO 9001/14001|||"Segmento: ICP frio ""indústria de peças"", subsegmento estamparia/corte a laser/dobra CNC + pintura industrial eletrostática, região São José dos Campos"|Alto — Empresa de 32 anos com processo completo (corte a laser, dobra CNC, solda e pintura eletrostática) certificada ISO 9001/14001 — múltiplas etapas geradoras de sujeira (óleo de corte CNC, resíduo de solda, desengraxe pré-pintura), e a certificação ambiental sugere abertura a produtos biodegradáveis/concentrados.|Morno|Não encontrado|01239051651|fallback (WebSearch)|Não|Sim|WebSearch, 2026-09-21 — https://www.stampvalle.com.br/, https://www.stampvalle.com.br/pagina/pintura-eletrostatica-a-po, https://www.zoominfo.com/p/Stampvalle-Indu%CC%81striais/8662845216, https://www.econodata.com.br/consulta-empresa/00229213000190-stampvalle-industria-e-comercio-ltda, https://www.solutudo.com.br/empresas/sp/s-jose-campos/diversos/stamp-valle-industria-e-comercio-ltda-877023
Fernando Moraes|Indústria, Comércio e Exportação de Café Moraes Ltda (Café Moraes)|cafemoraes.com.br|"Gerente Geral (LinkedIn confirmado) | Subsegmento: café torrado e moído (torrefação industrial), Campinas/SP"|||Segmento: ICP frio 'indústria de alimentos', subsegmento café torrado/moído, região Campinas|Alto — Torrefação industrial com planta nova inaugurada em 2021, produção de ~300 toneladas/mês, participante do Programa de Qualidade do Café (PQC) da ABIC. Processo gera acúmulo de óleo da torra em moinhos, dosadoras, embaladoras e piso, exigindo limpeza pesada recorrente e conformidade sanitária.|Morno|contato@cafemoraes.com.br|01932417229|fallback (WebSearch)|Não|Sim|WebSearch, 2026-09-21 — cafemoraes.com.br, cafemoraes.com.br/contato/, br.linkedin.com/in/fernando-moraes-3b34a6118, acidadeon.com/campinas (fábrica de café Campinas), econodata.com.br (CNPJ 46.041.091/0001-04)
Não identificado|Peperaio e Carvalho Indústria e Comércio de Gêneros Alimentícios Ltda (Ki Mania Salgadinhos)|kimaniasalgadinhos.com.br|"Decisor pessoal não confirmado (sócios-administradores via CNPJ: Henry Marcel Peperaio, Victor Franklim Peperaio, Benedito Peperaio) | Subsegmento: snacks/salgadinhos fritos de trigo, São Paulo capital"|||Segmento: ICP frio 'indústria de alimentos', subsegmento snacks/salgadinhos, região Grande São Paulo|Alto — Fábrica pioneira (desde 1976/1998) de salgadinhos de trigo fritos sabor bacon/calabresa. Processo de fritura em escala gera alto acúmulo de gordura em fritadeiras, exaustores, piso e linha de embalagem, exigindo desengraxante forte e recorrente.|Morno|contato@kimaniasalgadinhos.com.br|1127810245|fallback (WebSearch)|Não|Sim|WebSearch, 2026-09-21 — kimaniasalgadinhos.com.br, kimaniasalgadinhos.com.br/empresa/, kimaniasalgadinhos.com.br/contato/, econodata.com.br (CNPJ 02.851.746/0001-34), apontador.com.br
Não identificado|Campestre Indústria e Comércio de Óleos Vegetais Ltda (Campestre Óleos Vegetais)|campestre.com.br|"Controle de Qualidade (contato institucional); sócios via CNPJ: Benjamin Cohen Neto, David/Leo/Nissim Kojranski Cohen, Maria Telio | Subsegmento: óleos e gorduras vegetais/animais, São Bernardo do Campo"|||Segmento: ICP frio 'indústria de alimentos', subsegmento óleos vegetais/gorduras, região ABC Paulista (Grande São Paulo)|Alto — Fabricante de óleos e gorduras vegetais/animais (soja, dendê, mocotó, canola, cenoura) desde 1974, com laboratório de controle de qualidade próprio. Resíduo de óleo grudado em tanques, tubulações e piso é constante e de difícil remoção, exigindo desengordurante concentrado.|Morno|qualidade@campestre.com.br|1141780255|fallback (WebSearch)|Não|Sim|WebSearch, 2026-09-21 — campestre.com.br, campestre.com.br/contato/, campestre.com.br/a-empresa/, econodata.com.br (CNPJ 45.557.907/0001-94), quemfornece.com/fornecedor/campestre-oleos-vegetais
